line	min
0	2.1553147
1	2.3094923
2	2.3859792
3	2.6092522
4	2.354814
5	2.4760904
6	2.676414
7	2.3094923
8	2.2764351
9	2.2058866
10	2.938391
11	2.191079
12	2.6101162
13	2.9661636
14	2.6015403
15	2.2147806
16	2.3094923
17	2.938391
18	2.6805344
19	2.3997905
20	2.3757727
21	2.54901
22	2.6601722
23	2.535461
24	2.6433055
25	2.1613243
26	2.2594767
27	1.8823644
28	2.3094923
29	2.7043693
30	2.1188433
31	2.2234528
32	2.3094923
33	2.5090446
34	2.6790383
35	2.2217689
36	2.49077
37	2.6977167
38	2.5690196
39	2.5998325
40	2.793283
41	2.1794112
42	2.6416667
43	2.0976508
44	2.3094923
45	2.4145582
46	2.129291
47	2.1401808
48	2.116387
49	2.0128622
50	2.2012439
51	2.0619776
52	2.116387
53	2.522613
54	2.3760629
55	2.1301973
56	2.5797007
57	2.1070108
58	2.2113304
59	2.1514192
60	2.5754714
61	2.2113304
62	2.116387
63	2.1638997
64	2.2113304
65	2.116387
66	1.9909871
67	2.5470781
68	2.0503292
69	2.116387
70	2.215486
71	1.9976279
72	2.3396602
73	1.6929687
74	1.92981
75	2.0532482
76	1.9733802
77	2.0128622
78	2.2113304
79	1.9733802
80	2.1591375
81	2.5470781
82	2.3094923
83	2.7552512
84	2.0772884
85	1.8953508
86	1.92981
87	1.9620215
88	2.4878776
89	2.217007
90	2.2892728
91	1.9691939
92	2.0772884
93	2.5584822
94	2.2113304
95	2.3398917
96	2.5363753
97	2.0532482
98	1.922302
99	2.3897934
100	2.6863003
101	2.4125133
102	2.4475906
103	1.9859315
104	2.1873631
105	2.2113304
106	2.2697263
107	2.5721946
108	2.3766265
109	2.81253
110	2.4813268
111	2.6373336
112	2.606581
113	2.8273206
114	2.2113304
115	2.261711
116	2.590471
117	2.2113304
118	2.2113304
119	2.418835
120	2.5739527
121	2.615181
122	2.2113304
123	2.3396602
124	2.2113304
125	2.5314367
126	2.2113304
127	2.2113304
128	2.2113304
129	2.812783
130	2.5953498
131	2.261711
132	2.2113304
133	2.1880383
134	2.2646842
135	2.3072054
136	2.149342
137	2.2113304
138	2.344187
139	2.541074
140	2.4349039
141	2.337892
142	2.8981462
143	2.344187
144	2.3072054
145	2.2278507
146	2.2474775
147	2.8304694
148	2.8572206
149	2.4665418
150	2.223748
151	2.3834972
152	2.417324
153	2.2918108
154	2.344187
155	2.344187
156	2.344187
157	2.6678925
158	2.2164183
159	2.6587174
160	2.344187
161	2.5174615
162	2.0964212
163	2.341752
164	2.0964212
165	2.7611728
166	2.1473446
167	2.1473446
168	2.2772377
169	2.302455
170	2.341752
171	2.2164183
172	2.2164183
173	2.0766294
174	2.297562
175	2.2164183
176	2.714564
177	2.941267
178	2.2164183
179	2.9803336
180	3.1034591
181	2.297562
182	2.2772377
183	2.7276762
184	2.583601
185	2.2772377
186	2.2772377
187	2.714564
188	2.7422469
189	2.395321
