line	min
0	1.5444507333333333
1	1.3585944666666665
2	1.1770146333333333
3	1.2108565666666669
4	1.4037374
5	1.506744
6	1.599533
7	1.5642209666666667
8	1.5096236
9	1.6948438333333333
10	1.6828693666666668
11	1.6828693666666668
12	1.5921360666666668
13	1.5156148333333332
14	1.6135344666666667
15	1.4392666666666667
16	1.5277623666666666
17	1.5277623666666666
18	1.7896344666666666
19	1.7155716333333333
20	1.7187252666666666
21	1.5453488666666668
22	1.7848438333333334
23	1.7876219333333332
24	2.019717333333333
25	2.0941122
26	2.3339392
27	2.0990657
28	2.0602583666666665
29	1.9858635
30	2.3485558
31	2.410281733333333
32	2.4846766000000002
33	2.6258168
34	2.7387995666666662
35	2.8950056666666666
36	3.1770501
37	3.863800466666667
38	3.8223819999999997
39	3.751910966666667
40	3.056824033333333
41	3.4071633
42	3.4856500666666665
43	3.9747956666666666
44	4.027715166666667
45	3.612326266666667
46	3.1493849333333337
47	3.608053033333334
48	3.9390405666666664
49	4.101760233333334
50	3.441534466666667
51	3.3272174999999997
52	3.199764833333333
53	3.0723121666666664
54	3.2855692666666663
55	5.083975266666666
