line	upper
0	5.482370949268837
1	5.833771832692673
2	5.995028178636531
3	6.223404290936163
4	6.372047278307598
5	6.456331281230576
6	6.489420558083582
7	6.409125968938099
8	6.410712871956871
9	6.451468814129417
10	6.51538790724156
11	6.62388398572676
12	6.577752368340902
13	6.736624212629174
14	6.814104329225763
15	7.054673688671629
16	7.253580077531044
17	7.178586188278991
18	7.108721966071849
19	7.066808741612383
20	7.190588096179756
21	7.549288627515526
22	8.020158773000166
23	8.173990367099904
24	8.25155777549133
25	8.54681895690111
26	8.313503278623578
27	8.686059467961119
28	8.739156515429652
29	8.880311373710764
30	9.135517380306224
31	8.549884155070439
32	9.393604467564229
33	9.62415611383828
34	10.46793130398688
35	10.09273139819689
36	9.132896441264187
37	8.277820368544212
38	6.659280680387582
39	6.315193410508109
40	5.75179354906403
41	5.414401504285129
42	5.388834933623298
43	6.258443189844427
44	6.547510229069146
45	6.394834064320488
46	6.412568578802096
47	5.516151521785045
48	4.88966878859517
49	4.3372251782448465
50	3.8172144758307143
51	3.6432835015998846
52	3.730525258093027
53	5.100156754291145
54	6.290209001402348
