line	average
0	4.304154659470605
1	4.499392605207008
2	4.570257685991085
3	4.632326145168838
4	4.682322319669467
5	4.735295700371748
6	4.727189364890842
7	4.711729181679472
8	4.703221409755671
9	4.713083675718557
10	4.708568258370161
11	4.700015770543341
12	4.751780376029219
13	4.769616857404687
14	4.845660930055844
15	4.864556283799434
16	4.903957761478005
17	4.8525627491072045
18	4.907045766630235
19	4.901075164098307
20	4.965307379842988
21	5.109104331492233
22	5.240310826575205
23	5.289094943790689
24	5.480063311115354
25	5.529562379120674
26	5.649941786995238
27	5.66387604635671
28	5.825880839976781
29	5.756768629438609
30	5.760628130303993
31	5.872655408615682
32	6.117722424449013
33	6.421809008893459
34	6.257108816736596
35	6.4473124921212115
36	6.090423174666666
37	5.705721619666667
38	4.920102519666666
39	4.865486078
40	4.627061038
41	4.599716585
42	4.89984499
43	5.023226653333333
44	4.979217541666666
45	5.027962241666667
46	4.874097900000001
47	4.348596666666666
48	4.155249733333333
49	3.9712322466666663
50	3.5445307533333335
51	3.502410506666666
52	4.160487693333334
53	5.148627493333334
