line	max
0	16.8128315
1	16.9710045
2	17.4080485
3	17.5566795
4	18.004446
5	17.956029
6	17.495390999999998
7	17.005809
8	17.3537685
9	17.1734485
10	15.461276
11	15.832222999999999
12	16.929063
13	16.553072
14	17.0419595
15	17.769289999999998
16	17.2497685
17	17.664184499999998
18	18.380575
19	17.842841
20	16.7954835
21	15.945466
22	16.922399499999997
23	18.033983999999997
24	17.6988955
25	17.3994255
26	16.6775995
27	16.603012999999997
28	17.884659
29	17.045208
30	15.146145
31	16.053856
32	16.647542
33	15.625536499999999
34	16.589956
35	16.8794785
36	16.0455835
37	16.533865
38	16.915294000000003
39	16.697404
40	15.231996500000001
41	15.353078
42	15.320586500000001
43	14.203602
44	15.495058
45	16.5818685
46	16.018326000000002
47	15.428246999999999
48	15.161987
49	14.172550000000001
50	14.1326665
51	14.810872499999999
52	15.29327275
53	15.99666075
54	14.702714
55	14.526037
56	15.069739
57	14.3307045
58	15.899377999999999
59	17.551743
60	16.956612999999997
61	16.3010865
62	15.2241075
63	15.747589
64	16.683259
65	15.0418235
66	14.669105
67	15.6921855
68	14.06827575
69	13.66833325
70	14.796882
71	13.239516
72	13.696575
73	15.932654
74	14.153377
75	12.007461500000002
76	13.354717
77	13.60401475
78	15.44360425
79	18.1558435
80	15.479623
81	12.840095
82	11.9828165
83	11.8607475
84	14.083588500000001
85	14.278345999999999
86	12.925930999999999
87	12.860150999999998
88	12.7459785
89	12.3124185
90	11.900163
91	11.552749500000001
92	12.5710695
93	12.5824375
94	12.407133
95	14.323787
96	14.222137
97	13.9003245
98	12.9855185
99	12.350348499999999
100	11.797767499999999
101	9.9730745
102	11.524983
103	13.181994
104	12.2701785
105	11.3768545
106	11.346999
107	12.909154000000001
108	12.9096525
109	12.40774
110	11.968551999999999
111	11.768126
112	11.77103
113	10.949355
114	10.720776
115	10.567344
116	12.444070499999999
117	12.6662985
118	11.7449285
119	11.951055
120	11.2855875
121	11.2303715
122	11.1707285
123	10.8523715
124	10.6910665
125	11.71498
126	11.872924
127	11.976177499999999
128	11.8598015
129	9.823387
130	12.294232000000001
131	12.430198
132	10.537113999999999
133	10.516686
134	9.439316000000002
135	11.751871000000001
136	12.674019000000001
137	10.5108765
138	11.005951
139	13.205428999999999
140	11.870346999999999
141	9.861405
142	10.963355499999999
143	9.9251915
144	9.0697485
145	11.295192
146	12.697695499999998
147	11.5665045
148	11.666624
