line	min
0	3.373477175
1	3.7181537749999998
2	3.9319986
3	4.2596079499999995
4	4.70389855
5	4.7500909
6	5.0548085
7	5.0557526
8	5.328673725
9	5.203091475
10	5.342275975
11	4.587330625
12	3.781643
13	4.249439499999999
14	4.340911575
15	5.007395649999999
16	5.33590195
17	4.945259350000001
18	4.2089737750000005
19	4.07591355
20	3.8769377499999997
21	4.0817626
22	4.1180722
23	3.5983845999999997
24	3.6346941999999998
25	3.2792306499999997
26	4.01657145
27	4.320889449999999
28	4.390001225
29	5.2987254
30	4.630496375
31	5.560691875
32	6.33294525
33	6.224895625
34	7.144350375
35	7.096754975
36	7.065767074999999
37	6.873820824999999
38	7.001675874999999
39	6.638008275
40	6.704724575
41	7.14590515
42	6.6162118
43	7.00514355
44	6.925273325
45	6.76946675
46	7.024892175
47	7.004239875
48	7.1803757
49	7.3200172
50	6.504122375
51	5.683507075
52	5.089264924999999
53	4.41245125
54	4.575286825
55	5.563433675000001
56	6.290683425
57	6.926554475
58	7.9048604749999996
59	7.813425725
60	7.852123625
61	7.87609365
62	7.9301304
63	7.371574525
64	7.23615045
65	7.337711049999999
66	6.142532725
67	5.8043765
68	5.672005824999999
69	4.9570164
70	6.049530075
71	6.551421100000001
72	6.86870785
73	6.934596525
74	6.9309598249999995
75	7.4830796500000005
76	7.3065633000000005
77	8.1255423
78	8.1808704
79	8.1468129
80	8.159466
81	8.123413750000001
82	8.1403095
83	8.164993249999998
84	8.238193375
85	8.257250625
86	8.412603875
87	8.466914875
88	8.76786475
89	8.73074425
90	8.84193225
91	8.7485675
92	8.604004749999998
93	8.70133575
94	8.7963475
95	8.922932
96	8.8904975
97	8.47790295
98	8.11961095
99	7.98767495
100	8.13667845
101	8.5883945
102	9.086864
103	8.994077925
104	9.262881175
105	9.559379425
106	9.130319675
107	9.5158695
108	9.4328795
109	9.328879
110	9.56151275
111	9.268089
112	9.090229749999999
113	8.681043249999998
114	8.68574075
115	8.812449749999999
116	9.188648500000001
117	9.86653775
118	10.10513775
119	10.387089249999999
120	10.2901395
121	10.000141
122	9.641683
123	9.8718545
124	9.571579
125	9.25307875
126	9.409042750000001
127	9.02939025
128	8.998747875
129	9.161358375
130	9.506392875
131	9.538773625000001
132	9.4907115
133	9.240881250000001
134	8.85344925
135	8.715340750000001
136	9.036766
137	10.006305999999999
138	10.063676999999998
139	10.411615249999999
140	10.904533749999999
141	9.89329825
142	10.016551999999999
143	10.61019175
144	10.883721999999999
145	11.43084825
146	12.18215975
