line	max
0	12.542894
1	18.507267
2	18.507267
3	18.507267
4	18.507267
5	18.507267
6	18.507267
7	18.507267
8	18.507267
9	18.507267
10	18.507267
11	18.507267
12	18.507267
13	18.507267
14	18.507267
15	18.507267
16	18.507267
17	18.507267
18	18.507267
19	18.507267
20	18.507267
21	18.507267
22	18.507267
23	16.870052
24	18.507267
25	18.507267
26	18.507267
27	18.047651
28	18.507267
29	12.36395
30	18.507267
31	14.307225
32	18.507267
33	14.457785
34	9.988494
35	18.507267
36	18.507267
37	16.870052
38	6.695178
39	8.587182
40	9.037811
41	5.7211227
42	4.6520367
43	5.760612
44	6.3051953
45	6.144955
46	8.303997
47	7.4317374
48	5.761508
49	5.6905475
50	4.42666
51	4.193712
52	3.3993785
53	3.5262682
54	3.5262682
55	4.2655277
56	8.303997
57	8.303997
