line	upper
0	4.660727099403425
1	5.719652701560653
2	5.693703817196771
3	5.8554001789145005
4	6.066330633098769
5	6.364678085336085
6	6.607208266395295
7	6.449972128400242
8	6.403466644790681
9	6.4970351927481085
10	6.286029909813369
11	6.4563197404753305
12	6.566490413480864
13	6.752711565196677
14	6.720014223754169
15	6.271793270931899
16	7.20197779063395
17	7.062632031583032
18	7.682291661537636
19	7.067418826369558
20	6.902002233625735
21	6.783175142754467
22	7.514638763699772
23	7.5625362446390465
24	8.336804358968822
25	8.666655724693022
26	8.129965140098722
27	7.872805878204755
28	9.51784908460794
29	7.733393011582896
30	9.620189897448881
31	8.08519406807889
32	10.082468517732387
33	8.754217037964734
34	7.277656996505741
35	11.460075318054052
36	11.004675102828593
37	12.129317798559137
38	5.776857373345772
39	7.620735490323242
40	7.584370811948696
41	5.655159045932618
42	4.400508293827883
43	5.367136044546926
44	6.234802632833091
45	5.552892763285292
46	7.8789413187124016
47	6.5234042014458
48	5.6240979738384596
49	5.6238308212117225
50	4.293273090644198
51	4.017473268686299
52	3.4143235324371686
53	3.5437880115551903
54	3.5975491937208797
55	4.36644029465887
56	8.892849517229642
57	8.303997
