line	average
0	4.250614420710098
1	4.457490114948506
2	4.521126770215714
3	4.60346174677942
4	4.674970817143182
5	4.723323995958676
6	4.7523689839044305
7	4.71729136884041
8	4.702715542417713
9	4.701094679750936
10	4.695558965142188
11	4.729092600753581
12	4.7026496049202455
13	4.763414250259648
14	4.771761156858599
15	4.866924804749292
16	4.934768242323697
17	4.892871336731227
18	4.867096614887794
19	4.848492202576587
20	4.912573405122884
21	5.011455265279926
22	5.213548314712512
23	5.283677939819007
24	5.333516927192065
25	5.556018319213342
26	5.5370278248154765
27	5.725587015237554
28	5.752154318026532
29	5.765788838268849
30	5.8400261321107605
31	5.67538575395142
32	5.986561218061269
33	6.116956298616823
34	6.5970893125874115
35	6.460626990151515
36	6.3937071083333334
37	5.952437155833333
38	5.2218470620833335
39	4.92583144125
40	4.4833439725
41	4.5645044375
42	4.569930862500001
43	5.19652515
44	5.123007160416667
45	4.923539602083333
46	5.0998115083333335
47	4.537747
48	4.353237666666666
49	4.0930474
50	3.602627108333333
51	3.437852575
52	3.4800143
53	4.359785116666667
54	5.5647914583333336
